id_event,Event,Season,Year,NOC,Sport
257,Athletics Women's 800 metres,Summer,1984,IND,Athletics
258,Rowing Women's Coxed Quadruple Sculls,Summer,1980,POL,Rowing
259,Biathlon Men's 12.5 kilometres Pursuit,Winter,2010,BLR,Biathlon
260,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,2014,BLR,Biathlon
261,Rhythmic Gymnastics Women's Individual,Summer,1996,GEO,Rhythmic Gymnastics
262,"Canoeing Men's Kayak Singles, Slalom",Summer,1996,SLO,Canoeing
263,Archery Men's Individual,Summer,2008,RUS,Archery
264,Archery Men's Team,Summer,2008,RUS,Archery
265,"Speed Skating Women's 1,500 metres",Winter,2006,RUS,Speed Skating
266,Speed Skating Women's Team Pursuit (6 laps),Winter,2006,RUS,Speed Skating
267,Cross Country Skiing Men's Sprint,Winter,2006,CRO,Cross Country Skiing
268,Athletics Women's 400 metres,Summer,2016,GUY,Athletics
269,Figure Skating Women's Singles,Winter,1994,BUL,Figure Skating
270,"Speed Skating Men's 1,000 metres",Winter,1992,POL,Speed Skating
271,Trampolining Men's Individual,Summer,2016,POR,Trampolining
272,Beach Volleyball Men's Beach Volleyball,Summer,2008,ANG,Beach Volleyball
273,"Cycling Women's Mountainbike, Cross-Country",Summer,2012,COL,Cycling
274,"Athletics Men's Javelin Throw, Both Hands",Summer,1912,SWE,Athletics
275,Triathlon Women's Olympic Distance,Summer,2016,RUS,Triathlon
276,Gymnastics Women's Team Portable Apparatus,Summer,1952,ROU,Gymnastics
277,"Cycling Men's Mountainbike, Cross-Country",Summer,2004,FRA,Cycling
278,Athletics Women's 400 metres Hurdles,Summer,1988,FRG,Athletics
279,Diving Men's Springboard,Summer,1984,KUW,Diving
280,"Wrestling Men's Featherweight, Greco-Roman",Summer,1984,MEX,Wrestling
281,Table Tennis Men's Singles,Summer,2004,IND,Table Tennis
282,Art Competitions Mixed Painting,Summer,1924,FRA,Art Competitions
283,Cross Country Skiing Women's 3 x 5 kilometres Relay,Winter,1968,URS,Cross Country Skiing
284,Judo Men's Open Class,Summer,1980,SYR,Judo
285,Rowing Women's Quadruple Sculls,Summer,2016,NED,Rowing
286,"Gymnastics Men's Team All-Around, Swedish System",Summer,1920,SWE,Gymnastics
287,Nordic Combined Men's Sprint,Winter,2002,GER,Nordic Combined
288,Athletics Women's Pentathlon,Summer,1968,NED,Athletics
289,"Art Competitions Mixed Painting, Unknown Event",Summer,1932,BEL,Art Competitions
290,"Cycling Men's Team Pursuit, 4,000 metres",Summer,1960,ARG,Cycling
291,Weightlifting Women's Middleweight,Summer,2008,MEX,Weightlifting
292,"Swimming Men's 1,500 metres Freestyle",Summer,2016,ESA,Swimming
293,"Wrestling Women's Light-Heavyweight, Freestyle",Summer,2016,VEN,Wrestling
294,Swimming Women's 100 metres Freestyle,Summer,1936,HUN,Swimming
295,"Equestrianism Men's Jumping, Individual",Summer,1948,DEN,Equestrianism
296,"Equestrianism Men's Jumping, Team",Summer,1948,DEN,Equestrianism
297,"Equestrianism Men's Three-Day Event, Individual",Summer,1952,DEN,Equestrianism
298,"Equestrianism Men's Three-Day Event, Team",Summer,1952,DEN,Equestrianism
299,Alpine Skiing Women's Combined,Winter,2006,CAN,Alpine Skiing
300,Athletics Women's High Jump,Summer,1996,USA,Athletics
301,"Ski Jumping Men's Normal Hill, Individual",Winter,1932,JPN,Ski Jumping
302,"Canoeing Women's Kayak Fours, 500 metres",Summer,2004,JPN,Canoeing
303,Ice Hockey Women's Ice Hockey,Winter,2014,JPN,Ice Hockey
304,Sailing Men's One Person Dinghy,Summer,2000,TUR,Sailing
305,Trampolining Women's Individual,Summer,2016,GER,Trampolining
306,Curling Men's Curling,Winter,2006,CAN,Curling
307,Art Competitions Mixed Literature,Summer,1912,FRA,Art Competitions
308,Judo Men's Middleweight,Summer,1972,POL,Judo
309,Biathlon Women's 15 kilometres,Winter,1992,TCH,Biathlon
310,Biathlon Women's 3 x 7.5 kilometres Relay,Winter,1992,TCH,Biathlon
311,Biathlon Women's 4 x 7.5 kilometres Relay,Winter,1994,CZE,Biathlon
312,Judo Men's Half-Lightweight,Summer,2008,POL,Judo
313,"Fencing Women's Foil, Team",Summer,1972,USA,Fencing
314,Swimming Women's 200 metres Butterfly,Summer,1976,GBR,Swimming
315,Swimming Women's 400 metres Individual Medley,Summer,1976,GBR,Swimming
316,Golf Men's Individual,Summer,1904,USA,Golf
317,Athletics Men's Standing High Jump,Summer,1912,USA,Athletics
318,Athletics Men's Standing Long Jump,Summer,1912,USA,Athletics
319,Athletics Men's 20 kilometres Walk,Summer,1976,GBR,Athletics
320,Swimming Men's 220 yard Freestyle,Summer,1904,USA,Swimming
321,Swimming Men's 880 yard Freestyle,Summer,1904,USA,Swimming
322,Swimming Men's One Mile Freestyle,Summer,1904,USA,Swimming
323,Swimming Men's 4 x 50 Yard Freestyle Relay,Summer,1904,USA,Swimming
324,Swimming Men's Plunge For Distance,Summer,1904,USA,Swimming
325,"Shooting Men's Free Rifle, Three Positions, 300 metres",Summer,1912,USA,Shooting
326,"Shooting Men's Military Rifle, Three Positions, 300 metres",Summer,1912,USA,Shooting
327,"Shooting Men's Military Rifle, Any Position, 600 metres",Summer,1912,USA,Shooting
328,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Summer,1912,USA,Shooting
329,"Shooting Men's Military Rifle, Prone, 300 metres",Summer,1920,USA,Shooting
330,Judo Men's Half-Heavyweight,Summer,1984,DOM,Judo
331,Archery Women's Team,Summer,1996,USA,Archery
332,Athletics Men's 50 kilometres Walk,Summer,2008,AUS,Athletics
333,Rowing Women's Double Sculls,Summer,2016,GER,Rowing
334,Sailing Mixed 6 metres,Summer,1936,USA,Sailing
335,Boxing Men's Light-Heavyweight,Summer,1988,PUR,Boxing
336,Boxing Women's Flyweight,Summer,2012,GBR,Boxing
337,Athletics Women's 100 metres Hurdles,Summer,1992,CUB,Athletics
338,"Athletics Men's Discus Throw, Greek Style",Summer,1908,USA,Athletics
339,Curling Women's Curling,Winter,2014,GBR,Curling
340,Sailing Mixed One Person Dinghy,Summer,1996,USA,Sailing
341,"Wrestling Women's Heavyweight, Freestyle",Summer,2016,TUR,Wrestling
342,Badminton Mixed Doubles,Summer,2012,GBR,Badminton
